Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
launch-kit,AI Income Launch Kit,"<p><strong>Score yourself across seven AI income streams, validate the winner in seven days, then run a thirty-day launch plan that tracks itself.</strong></p>
<h3>The problem</h3>
<p>The reason most AI side incomes never start is not laziness and not the market — it is that the first decision never gets made. Seven plausible streams, no way to compare them against your own hours, skills and cash, so you research a fourth one instead. Then the thirty days that were supposed to be a launch become thirty days of tab-opening.</p>
<p>It deals specifically with:</p>
<ul><li>Choosing between income streams with nothing to compare them on except enthusiasm</li><li>Committing thirty days to an idea nobody has told you they want</li><li>A launch plan that lives in your head and quietly loses two days a week</li><li>Writing prompts that produce generic output because they never carried your context</li></ul>
<h3>Who it is for</h3>
<ul><li>Anyone who has read three books about starting an AI side income and started none of them</li><li>Freelancers deciding which service to lead with</li><li>People with more ideas than evenings</li></ul>
<h3>What you get</h3>
<ul><li>Fit Matrix — score yourself on five dimensions and get all seven income streams ranked, with a primary, a secondary, and the profile you match</li><li>7-Day Validation Sprint — one action a day, each with the question it answers and the output it must produce, ending in Proceed / Refine / Pivot</li><li>Commitment Statement — the fill-in template, rendered as a signed document you can print and put where you will see it</li><li>30-Day Launch Plan — all thirty days with real tasks, time estimates and weekly milestone checks, adapted for service, product or content tracks</li><li>CLEAR prompt builder — Context, Length, Examples, Audience, Role, assembled into a prompt you can paste anywhere</li><li>Pricing cheat sheet — the bands for each stream, so your first quote is not a guess</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html. Nothing to install, no account, works with the wifi off.</li><li>Do the Fit Matrix first — five sliders, about six minutes. Read the ranking before you argue with it.</li><li>Run the 7-Day Sprint on your top stream. One action per day; write the output in the box, not in your head.</li><li>If the sprint says Proceed, write the Commitment Statement and print it.</li><li>Work the 30-Day Plan day by day. Everything is saved in the browser, so close the tab whenever you like.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>One income stream chosen, in writing, with the reason it beat the other six</li><li>A seven-day test that costs nothing and can honestly return &#39;pivot&#39;</li><li>Thirty dated tasks you can open tomorrow morning instead of deciding again</li></ul>
<h3>Do not buy this if</h3>
<ul><li>Anyone looking for a done-for-you business or a list of passive income tricks</li><li>People who want the tool to promise an income figure — it refuses to</li></ul>
<h3>What it cannot do</h3>
<p>The scores come from your own answers against fixed rules you can read in the file. It cannot check whether your answers are true.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"ai side income, income stream picker, 30 day launch plan, business validation, clear prompt formula, freelance start, digital product launch, side hustle planner, offline app, no subscription",TRUE,Licence,Solo licence,LAUNCHKIT-SOLO,0,,continue,manual,29,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/launch-kit/square.png,1,AI Income Launch Kit — Pick one income stream and survive the first 30 days,AI Income Launch Kit — Pick one income stream and survive the first…,"Score yourself across seven AI income streams, validate the winner in seven days, then run a thirty-day launch plan that tracks itself.",active
launch-kit,,,,,,,Licence,Studio licence,LAUNCHKIT-STUDIO,0,,continue,manual,73,FALSE,TRUE,,,,,,
launch-kit,,,,,,,Licence,Agency licence,LAUNCHKIT-AGENCY,0,,continue,manual,145,FALSE,TRUE,,,,,,
digital-products,Digital Products Maker,"<p><strong>Eight product formats compared on how much AI really carries, a validation gate with hard floors that can return a kill, and the fee arithmetic.</strong></p>
<h3>The problem</h3>
<p>A digital product has no marginal cost, which is the whole appeal and also the trap: the entire cost is paid up front, before one person has said they want it. Eleven hours in a document is eleven hours whether it sells four hundred copies or none — and by the time you find out, the money is already spent. The only decision that changes the outcome is made before you build.</p>
<p>It deals specifically with:</p>
<ul><li>Picking a format because it sounds fun rather than because AI actually carries most of the work</li><li>Building for weeks with no evidence anyone will pay, then calling it a marketing problem</li><li>Pricing at $19 without knowing what the platform fee, the refund rate and the traffic leave you</li><li>Prompts that produce a generic first draft because they were written from nothing</li></ul>
<h3>Who it is for</h3>
<ul><li>Anyone about to spend a weekend building something nobody asked for</li><li>Creators choosing between an ebook, a template pack, a course and a notion of a course</li><li>Sellers who cannot work out why a $19 product earns $6</li></ul>
<h3>What you get</h3>
<ul><li>Formats — eight product types scored on how much of the work AI genuinely does, with build hours attached</li><li>The gate — three criteria with hard floors; miss one and the app says kill, not &#39;consider adjusting&#39;</li><li>30-Minute Validation — the method on a clock, with what to search and what counts as evidence</li><li>Build — the eight-step workflow with the prompts written from your own answers, not templates</li><li>Numbers — fee, refund and traffic arithmetic that says how many visitors the price actually needs</li><li>Launch and Kit — the listing structure and a one-page export of the whole decision</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html and describe the product in the Product tab — one honest paragraph.</li><li>Compare Formats before you commit. The build-hours column is the one people skip and regret.</li><li>Run the gate. If it kills the idea, that is the product working; change an input or change the idea.</li><li>Do the 30-minute validation with real marketplace tabs open. The app has no network access — the evidence has to be yours.</li><li>Take the Build prompts into any chat model, then run the Numbers tab before you set a price.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>A yes or a no on this specific product, with the number that decided it</li><li>If yes: the eight prompts that build it, already carrying your context</li><li>The visitor count your price and conversion rate really require, before you promise yourself anything</li></ul>
<h3>Do not buy this if</h3>
<ul><li>People who want the product written for them — nothing here talks to a model</li><li>Anyone unwilling to have an idea killed by their own numbers</li></ul>
<h3>What it cannot do</h3>
<p>Both gates can return a kill. The arithmetic quotes figures, never percentages of success it cannot know.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"digital product validation, product idea checker, ebook vs course, template pack, pricing calculator, gumroad seller tools, product market fit, ai product workflow, offline tool, etsy digital",TRUE,Licence,Solo licence,DIGITALPRODUCTS-SOLO,0,,continue,manual,39,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/digital-products/square.png,1,"Digital Products Maker — The hour before you build, done properly","Digital Products Maker — The hour before you build, done properly","Eight product formats compared on how much AI really carries, a validation gate with hard floors that can return a kill, and the fee arithmetic.",active
digital-products,,,,,,,Licence,Studio licence,DIGITALPRODUCTS-STUDIO,0,,continue,manual,98,FALSE,TRUE,,,,,,
digital-products,,,,,,,Licence,Agency licence,DIGITALPRODUCTS-AGENCY,0,,continue,manual,195,FALSE,TRUE,,,,,,
venture-studio,CLEAR AI Digital Product Venture Studio,"<p><strong>Crosses what you already know with 33 product types into a ranked catalogue — then locks nine of thirteen tabs until you have checked six real listings by hand.</strong></p>
<h3>The problem</h3>
<p>Most people with something worth selling make the same three mistakes in the same order: they pick the product type first, they validate after building, and they think in single products instead of catalogues. The idea is the cheap part — three knowledge assets crossed with thirty-three product types is ninety-nine scored ideas in the time it takes to type three phrases. What is expensive is finding out, in month three, that nobody was looking for it.</p>
<p>It deals specifically with:</p>
<ul><li>Staring at a blank page trying to think of &#39;a good digital product idea&#39;</li><li>Validation theatre — asking friends, reading a trend article, calling it research</li><li>Building one product at a time when the economics only work as a catalogue</li><li>Listings written to a character limit you discover after the copy is finished</li></ul>
<h3>Who it is for</h3>
<ul><li>Anyone with expertise and no idea which part of it is sellable</li><li>Studios planning a catalogue rather than a single product</li><li>People who have built the thing first, twice, and would like to stop</li></ul>
<h3>What you get</h3>
<ul><li>Assets and Opportunities — three things you know × 33 product types, scored on six criteria into a ranked list</li><li>Validate — six marketplace checks you must do by hand; nine tabs stay locked until you have</li><li>Blueprint and four tiers, plus an ecosystem of nine rungs from free to flagship</li><li>Catalogue plans at 30, 90 and 365 days, including the point where upkeep eats the whole week</li><li>Listings with every marketplace character limit enforced as you type</li><li>A funnel, six licences, six SOPs, and a board of eight directors that is allowed to block</li><li>One-click export of the whole thing as a ~10,000-word dossier</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html. A worked example is loaded so you can see a finished dossier before typing anything.</li><li>Clear it, then enter three things you genuinely know. Be specific — &#39;payroll for Ghanaian SMEs&#39; beats &#39;business&#39;.</li><li>Read the ranked opportunities, including the low scores. Why an idea scored 31 is the useful part.</li><li>Do the six validation checks with real marketplace tabs open. The app makes zero network requests, by design.</li><li>Past the gate, work through Blueprint → Catalogue → Listings, then export the dossier.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>A ranked catalogue of ideas with the bad ones scored, not just the good ones</li><li>Six pieces of real marketplace evidence, gathered by you, on the record</li><li>A 365-day catalogue plan that shows the month upkeep starts eating production</li></ul>
<h3>Do not buy this if</h3>
<ul><li>Anyone who wants market data supplied for them — it has never seen a marketplace</li><li>People in a hurry to build. The gate exists precisely to slow that down</li></ul>
<h3>What it cannot do</h3>
<p>It makes no income claims and cannot verify a single figure you enter. Nine of the thirteen tabs stay shut until you supply real evidence.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"digital product ideas, product catalogue planning, idea validation, venture studio, marketplace research, product scoring, solo founder, info product, listing copy, offline app",TRUE,Licence,Solo licence,VENTURESTUDIO-SOLO,0,,continue,manual,79,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/venture-studio/square.png,1,"CLEAR AI Digital Product Venture Studio — Ninety-nine scored ideas, and a gate you cannot argue past","CLEAR AI Digital Product Venture Studio — Ninety-nine scored ideas,…",Crosses what you already know with 33 product types into a ranked catalogue — then locks nine of thirteen tabs until you have checked six real listings by…,active
venture-studio,,,,,,,Licence,Studio licence,VENTURESTUDIO-STUDIO,0,,continue,manual,198,FALSE,TRUE,,,,,,
venture-studio,,,,,,,Licence,Agency licence,VENTURESTUDIO-AGENCY,0,,continue,manual,395,FALSE,TRUE,,,,,,
product-factory,MOSH Product Factory,"<p><strong>A production console for a one-person studio: twelve products ranked by score per hour, three workflows with human gates, and the catalogue size where upkeep eats the week.</strong></p>
<h3>The problem</h3>
<p>Every product plan is a claim about time, and almost nobody checks it. Twelve products at &#39;a few days each&#39; is a year, the upkeep on the first six eats the week you were going to build the seventh in, and the roadmap quietly becomes a list of things you feel guilty about. The question everything turns on is not what to build. It is how many you can finish.</p>
<p>It deals specifically with:</p>
<ul><li>A roadmap that assumes more building hours than the week contains</li><li>Choosing the next product by enthusiasm instead of score per hour</li><li>AI-assisted output shipped without the specific checks its category needs</li><li>Unit economics discovered after launch, when the price is already public</li></ul>
<h3>Who it is for</h3>
<ul><li>Solo studios running more than one product at a time</li><li>Anyone whose roadmap assumes hours they do not have</li><li>Small teams deciding what to build next and in what order</li></ul>
<h3>What you get</h3>
<ul><li>Twelve products ranked by score per hour — the ordering that survives a real calendar</li><li>Three production workflows with their human gates marked, so nothing ships unread</li><li>Seven agent briefs, ready to hand to a model or a person</li><li>Eighteen category-specific accuracy checks — what actually goes wrong per product type</li><li>Unit economics and funnel sensitivity on your figures</li><li>A catalogue simulation that finds the size at which upkeep consumes the whole week</li></ul>
<p>Delivered as a ZIP: the app, a START-HERE page, full usage instructions, your licence, and a checksum list of every file. Free updates to the version you bought for 12 months. You keep the files forever either way.</p>
<h3>How you use it</h3>
<ol><li>Open index.html — a worked example loads by default.</li><li>Enter your real available hours. Optimism here invalidates everything downstream.</li><li>Read the Ideas tab ranked by score per hour, not by score.</li><li>Run the catalogue simulation and note the month upkeep overtakes production.</li><li>Export the schedule and work from it.</li></ol>
<h3>What should be true when you finish</h3>
<ul><li>A build order with a reason attached to each position</li><li>The number of products your week can actually sustain, computed rather than hoped</li><li>A gate list that stops AI output shipping unchecked</li></ul>
<h3>Do not buy this if</h3>
<ul><li>Teams big enough that the constraint is coordination, not hours</li><li>Anyone wanting it to generate the products — it prices the hours, it does not do them</li></ul>
<h3>What it cannot do</h3>
<p>It has no exchange rate and no market data. Every figure it reports is derived from inputs you supplied and rules you can read.</p>
<p><em>These are decision and drafting tools, not professional advice. They compute from figures you supply and cannot verify any of them. Nothing here is financial, legal, tax, medical or investment advice.</em></p>
<h3>Guarantee</h3>
<p>14-day refund, no questions asked. Reply to your receipt and say the word. Support: hassanmosh5@gmail.com — One reply within two working days, from the person who built it.</p>",MOSH Digital Studios,Digital download,"product roadmap, solo founder capacity, digital product studio, unit economics, production workflow, ai quality checks, score per hour, catalogue planning, operations, offline tool",TRUE,Licence,Solo licence,PRODUCTFACTORY-SOLO,0,,continue,manual,59,FALSE,TRUE,https://REPLACE-ME.example.com/mockups/product-factory/square.png,1,MOSH Product Factory — How many products a month can you actually finish?,MOSH Product Factory — How many products a month can you actually…,"A production console for a one-person studio: twelve products ranked by score per hour, three workflows with human gates, and the catalogue size where…",active
