id,title,description,availability,condition,price,link,image_link,brand,google_product_category
launch-kit,AI Income Launch Kit,"Score yourself across seven AI income streams, validate the winner in seven days, then run a thirty-day launch plan that tracks itself. Works offline, no account, one payment.",in stock,new,370 GHS,https://paystack.shop/mosh-digital-studios/products/launch-kit,https://paystack.shop/mosh-digital-studios/mockups/launch-kit/square.png,MOSH Digital Studios,Software
digital-products,Digital Products Maker,"Eight product formats compared on how much AI really carries, a validation gate with hard floors that can return a kill, and the fee arithmetic. Works offline, no account, one payment.",in stock,new,490 GHS,https://paystack.shop/mosh-digital-studios/products/digital-products,https://paystack.shop/mosh-digital-studios/mockups/digital-products/square.png,MOSH Digital Studios,Software
venture-studio,CLEAR AI Digital Product Venture Studio,"Crosses what you already know with 33 product types into a ranked catalogue — then locks nine of thirteen tabs until you have checked six real listings by hand. Works offline, no account, one payment.",in stock,new,990 GHS,https://paystack.shop/mosh-digital-studios/products/venture-studio,https://paystack.shop/mosh-digital-studios/mockups/venture-studio/square.png,MOSH Digital Studios,Software
product-factory,MOSH Product Factory,"A production console for a one-person studio: twelve products ranked by score per hour, three workflows with human gates, and the catalogue size where upkeep eats the week. Works offline, no account, one payment.",in stock,new,740 GHS,https://paystack.shop/mosh-digital-studios/products/product-factory,https://paystack.shop/mosh-digital-studios/mockups/product-factory/square.png,MOSH Digital Studios,Software
board-of-directors,CLEAR AI Board of Directors,"Fifteen seats score your decision against your own numbers, argue with each other, simulate three years of downside, and return a verdict that can be no. Works offline, no account, one payment.",in stock,new,620 GHS,https://paystack.shop/mosh-digital-studios/products/board-of-directors,https://paystack.shop/mosh-digital-studios/mockups/board-of-directors/square.png,MOSH Digital Studios,Software
ebook,The AI Income Blueprint — Interactive Edition,"All 17 chapters with highlighting, notes, inline quizzes, action-step tracking, full-text search and Markdown export. Offline, no account. Works offline, no account, one payment.",in stock,new,240 GHS,https://paystack.shop/mosh-digital-studios/products/ebook,https://paystack.shop/mosh-digital-studios/mockups/ebook/square.png,MOSH Digital Studios,Software
gpt,Digital Product Studio — custom GPT,"Paste-ready instructions, configuration and knowledge file for a ChatGPT custom GPT that takes you from 'I don't know what to sell' to a listed product. Works offline, no account, one payment.",in stock,new,300 GHS,https://paystack.shop/mosh-digital-studios/products/gpt,https://paystack.shop/mosh-digital-studios/mockups/gpt/square.png,MOSH Digital Studios,Software
packaging-agent,MOSH Packaging Agent,"Turns one finished asset into the whole commercial package: four priced tiers, ~50 files, four marketplace listings, 120 keywords, 50 posts and a launch plan, as a ZIP. Works offline, no account, one payment.",in stock,new,870 GHS,https://paystack.shop/mosh-digital-studios/products/packaging-agent,https://paystack.shop/mosh-digital-studios/mockups/packaging-agent/square.png,MOSH Digital Studios,Software
prompt-packs,AI Prompt Packs for Businesses & Creators,"Eight complete prompt packs — 160 role-first prompts — plus the builder that turns any one of them into a product file you can list this afternoon. Works offline, no account, one payment.",in stock,new,490 GHS,https://paystack.shop/mosh-digital-studios/products/prompt-packs,https://paystack.shop/mosh-digital-studios/mockups/prompt-packs/square.png,MOSH Digital Studios,Software
prompt-generator,The Wealth Ideas Prompt Generator,"The Wealth Ideas Matrix wired into the CLEAR formula: pick role, context, audience, offer and niche, get a complete prompt — then a pack you can list. Works offline, no account, one payment.",in stock,new,370 GHS,https://paystack.shop/mosh-digital-studios/products/prompt-generator,https://paystack.shop/mosh-digital-studios/mockups/prompt-generator/square.png,MOSH Digital Studios,Software
canva-templates,The Canva Template Library Builder,"Niche × pack type × angle produces a complete spec — brand kit, per-template pixel dimensions, type pairing, layout — then prices, validates and schedules the catalogue. Works offline, no account, one payment.",in stock,new,490 GHS,https://paystack.shop/mosh-digital-studios/products/canva-templates,https://paystack.shop/mosh-digital-studios/mockups/canva-templates/square.png,MOSH Digital Studios,Software
course-creation,Course Creation Systems,"Curriculum designed backwards from a measurable outcome, time-boxed lesson scripts, an honest production estimate, pricing arithmetic and a drop-off audit. Works offline, no account, one payment.",in stock,new,620 GHS,https://paystack.shop/mosh-digital-studios/products/course-creation,https://paystack.shop/mosh-digital-studios/mockups/course-creation/square.png,MOSH Digital Studios,Software
ecommerce-setup,Store Setup Guides — Shopify & E-Commerce,"Six weighted questions on whether you need your own store yet, a break-even calculator for platform fees, and the build in eleven ordered steps. Works offline, no account, one payment.",in stock,new,370 GHS,https://paystack.shop/mosh-digital-studios/products/ecommerce-setup,https://paystack.shop/mosh-digital-studios/mockups/ecommerce-setup/square.png,MOSH Digital Studios,Software
agency-sops,The Agency Operations System,"The six SOPs a digital service agency runs on, arriving already written for your service line — and every line of every one is editable. Works offline, no account, one payment.",in stock,new,490 GHS,https://paystack.shop/mosh-digital-studios/products/agency-sops,https://paystack.shop/mosh-digital-studios/mockups/agency-sops/square.png,MOSH Digital Studios,Software
