slug,product,category,tier,seats,client_work,usd,ghs,ngn
launch-kit,AI Income Launch Kit,Start & decide,Solo licence,1,no,29,370,45000
launch-kit,AI Income Launch Kit,Start & decide,Studio licence,3,yes,73,920,113500
launch-kit,AI Income Launch Kit,Start & decide,Agency licence,10,yes,145,1820,225000
digital-products,Digital Products Maker,Start & decide,Solo licence,1,no,39,490,60500
digital-products,Digital Products Maker,Start & decide,Studio licence,3,yes,98,1230,152000
digital-products,Digital Products Maker,Start & decide,Agency licence,10,yes,195,2440,302500
venture-studio,CLEAR AI Digital Product Venture Studio,Start & decide,Solo licence,1,no,79,990,122500
venture-studio,CLEAR AI Digital Product Venture Studio,Start & decide,Studio licence,3,yes,198,2480,307000
venture-studio,CLEAR AI Digital Product Venture Studio,Start & decide,Agency licence,10,yes,395,4940,612500
product-factory,MOSH Product Factory,Start & decide,Solo licence,1,no,59,740,91500
product-factory,MOSH Product Factory,Start & decide,Studio licence,3,yes,148,1850,229500
product-factory,MOSH Product Factory,Start & decide,Agency licence,10,yes,295,3690,457500
board-of-directors,CLEAR AI Board of Directors,Start & decide,Solo licence,1,no,49,620,76000
board-of-directors,CLEAR AI Board of Directors,Start & decide,Studio licence,3,yes,123,1540,191000
board-of-directors,CLEAR AI Board of Directors,Start & decide,Agency licence,10,yes,245,3070,380000
ebook,The AI Income Blueprint — Interactive Edition,Start & decide,Solo licence,1,no,19,240,29500
ebook,The AI Income Blueprint — Interactive Edition,Start & decide,Studio licence,3,yes,48,600,74500
ebook,The AI Income Blueprint — Interactive Edition,Start & decide,Agency licence,10,yes,95,1190,147500
gpt,Digital Product Studio — custom GPT,Start & decide,Solo licence,1,no,24,300,37500
gpt,Digital Product Studio — custom GPT,Start & decide,Studio licence,3,yes,60,750,93000
gpt,Digital Product Studio — custom GPT,Start & decide,Agency licence,10,yes,120,1500,186000
packaging-agent,MOSH Packaging Agent,Package & sell,Solo licence,1,no,69,870,107000
packaging-agent,MOSH Packaging Agent,Package & sell,Studio licence,3,yes,173,2170,268500
packaging-agent,MOSH Packaging Agent,Package & sell,Agency licence,10,yes,345,4320,535000
prompt-packs,AI Prompt Packs for Businesses & Creators,Package & sell,Solo licence,1,no,39,490,60500
prompt-packs,AI Prompt Packs for Businesses & Creators,Package & sell,Studio licence,3,yes,98,1230,152000
prompt-packs,AI Prompt Packs for Businesses & Creators,Package & sell,Agency licence,10,yes,195,2440,302500
prompt-generator,The Wealth Ideas Prompt Generator,Package & sell,Solo licence,1,no,29,370,45000
prompt-generator,The Wealth Ideas Prompt Generator,Package & sell,Studio licence,3,yes,73,920,113500
prompt-generator,The Wealth Ideas Prompt Generator,Package & sell,Agency licence,10,yes,145,1820,225000
canva-templates,The Canva Template Library Builder,Package & sell,Solo licence,1,no,39,490,60500
canva-templates,The Canva Template Library Builder,Package & sell,Studio licence,3,yes,98,1230,152000
canva-templates,The Canva Template Library Builder,Package & sell,Agency licence,10,yes,195,2440,302500
course-creation,Course Creation Systems,Package & sell,Solo licence,1,no,49,620,76000
